Cat,Da,XLC,TB,Na2SiO3,NaOH,Nuoc,Tuoi,Cuongdo
815.61,1127.38,125,125,64.82,10.12,118.23,3 ,6.79 
773.29,1108.58,150,150,77.79,12.14,109.88,3 ,27.34 
727.21,1093.61,175,175,90.75,14.16,101.53,3 ,38.53 
680.37,1079.41,200,200,103.72,16.18,93.18,3 ,42.97 
630.78,1068.01,225,225,116.68,18.21,84.82,3 ,46.38 
815.61,1127.38,125,125,64.82,10.12,118.23,7 ,21.37 
773.29,1108.58,150,150,77.79,12.14,109.88,7 ,41.70 
727.21,1093.61,175,175,90.75,14.16,101.53,7 ,46.33 
680.37,1079.41,200,200,103.72,16.18,93.18,7 ,53.98 
630.78,1068.01,225,225,116.68,18.21,84.82,7 ,51.08 
815.61,1127.38,125,125,64.82,10.12,118.23,28 ,36.39 
773.29,1108.58,150,150,77.79,12.14,109.88,28 ,57.97 
727.21,1093.61,175,175,90.75,14.16,101.53,28 ,61.05 
680.37,1079.41,200,200,103.72,16.18,93.18,28 ,64.51 
630.78,1068.01,225,225,116.68,18.21,84.82,28 ,67.68 
815.61,1127.38,125,125,64.82,10.12,118.23,56 ,44.86 
773.29,1108.58,150,150,77.79,12.14,109.88,56 ,65.91 
727.21,1093.61,175,175,90.75,14.16,101.53,56 ,68.42 
680.37,1079.41,200,200,103.72,16.18,93.18,56 ,70.82 
630.78,1068.01,225,225,116.68,18.21,84.82,56 ,73.52 
815.61,1127.38,125,125,64.82,10.12,118.23,112 ,46.16 
773.29,1108.58,150,150,77.79,12.14,109.88,112 ,67.55 
727.21,1093.61,175,175,90.75,14.16,101.53,112 ,69.03 
680.37,1079.41,200,200,103.72,16.18,93.18,112 ,71.19 
630.78,1068.01,225,225,116.68,18.21,84.82,112 ,73.45 
815.61,1127.38,125,125,64.82,10.12,118.23,3 ,9.64 
773.29,1108.58,150,150,77.79,12.14,109.88,3 ,38.81 
727.21,1093.61,175,175,90.75,14.16,101.53,3 ,39.52 
680.37,1079.41,200,200,103.72,16.18,93.18,3 ,48.84 
630.78,1068.01,225,225,116.68,18.21,84.82,3 ,50.71 
815.61,1127.38,125,125,64.82,10.12,118.23,7 ,25.21 
773.29,1108.58,150,150,77.79,12.14,109.88,7 ,44.19 
727.21,1093.61,175,175,90.75,14.16,101.53,7 ,51.72 
680.37,1079.41,200,200,103.72,16.18,93.18,7 ,59.62 
630.78,1068.01,225,225,116.68,18.21,84.82,7 ,64.04 
815.61,1127.38,125,125,64.82,10.12,118.23,28 ,36.76 
773.29,1108.58,150,150,77.79,12.14,109.88,28 ,55.56 
727.21,1093.61,175,175,90.75,14.16,101.53,28 ,58.64 
680.37,1079.41,200,200,103.72,16.18,93.18,28 ,67.45 
630.78,1068.01,225,225,116.68,18.21,84.82,28 ,73.43 
815.61,1127.38,125,125,64.82,10.12,118.23,56 ,47.67 
773.29,1108.58,150,150,77.79,12.14,109.88,56 ,68.03 
727.21,1093.61,175,175,90.75,14.16,101.53,56 ,71.98 
680.37,1079.41,200,200,103.72,16.18,93.18,56 ,74.05 
630.78,1068.01,225,225,116.68,18.21,84.82,56 ,76.18 
815.61,1127.38,125,125,64.82,10.12,118.23,112 ,48.26 
773.29,1108.58,150,150,77.79,12.14,109.88,112 ,69.36 
727.21,1093.61,175,175,90.75,14.16,101.53,112 ,73.34 
680.37,1079.41,200,200,103.72,16.18,93.18,112 ,74.22 
630.78,1068.01,225,225,116.68,18.21,84.82,112 ,76.11 
815.61,1127.38,125,125,64.82,10.12,118.23,3 ,9.91 
773.29,1108.58,150,150,77.79,12.14,109.88,3 ,29.51 
727.21,1093.61,175,175,90.75,14.16,101.53,3 ,39.69 
680.37,1079.41,200,200,103.72,16.18,93.18,3 ,46.30 
630.78,1068.01,225,225,116.68,18.21,84.82,3 ,47.98 
815.61,1127.38,125,125,64.82,10.12,118.23,7 ,25.64 
773.29,1108.58,150,150,77.79,12.14,109.88,7 ,43.24 
727.21,1093.61,175,175,90.75,14.16,101.53,7 ,47.90 
680.37,1079.41,200,200,103.72,16.18,93.18,7 ,53.05 
630.78,1068.01,225,225,116.68,18.21,84.82,7 ,59.96 
815.61,1127.38,125,125,64.82,10.12,118.23,28 ,38.91 
773.29,1108.58,150,150,77.79,12.14,109.88,28 ,54.18 
727.21,1093.61,175,175,90.75,14.16,101.53,28 ,61.61 
680.37,1079.41,200,200,103.72,16.18,93.18,28 ,68.31 
630.78,1068.01,225,225,116.68,18.21,84.82,28 ,70.78 
815.61,1127.38,125,125,64.82,10.12,118.23,56 ,47.07 
773.29,1108.58,150,150,77.79,12.14,109.88,56 ,62.02 
727.21,1093.61,175,175,90.75,14.16,101.53,56 ,69.65 
680.37,1079.41,200,200,103.72,16.18,93.18,56 ,71.67 
630.78,1068.01,225,225,116.68,18.21,84.82,56 ,74.53 
815.61,1127.38,125,125,64.82,10.12,118.23,112 ,48.70 
773.29,1108.58,150,150,77.79,12.14,109.88,112 ,63.22 
727.21,1093.61,175,175,90.75,14.16,101.53,112 ,70.14 
680.37,1079.41,200,200,103.72,16.18,93.18,112 ,72.94 
630.78,1068.01,225,225,116.68,18.21,84.82,112 ,74.68 
818.7,1128.79,125,125,50.61,7.9,127.39,28 ,22.27 
777.05,1110.22,150,150,60.73,9.48,120.87,28 ,36.81 
732.01,1095.09,175,175,70.85,11.06,114.35,28 ,45.55 
685.9,1081.06,200,200,80.97,12.64,107.83,28 ,56.11 
637.48,1069.38,225,225,91.09,14.21,101.31,28 ,59.53 
859.49,1122.48,125,125,64.82,10.12,118.23,28 ,36.39 
816.07,1103.46,150,150,77.79,12.14,109.88,28 ,57.97 
768.83,1088.33,175,175,90.75,14.16,101.53,28 ,61.05 
